permit_type,permit_number,permit_class,issue_date,last_30_days,current_status,expires_date,address,city,state,zip,project_id,latitude,link,longitude,valuation
BP,2015-049761 BP,Commercial,4/29/2015,No,Active,8/27/2016,605 DAVIS ST,AUSTIN,TX,78701,11339724,30.26010402,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11339724,-97.73921517,35000
BP,2015-052776 BP,Commercial,5/7/2015,No,Active,3/1/2022,501 WEST AVE,AUSTIN,TX,78701,11344566,30.26952953,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11344566,-97.75052084,14723350
BP,2017-003163 BP,Commercial,1/13/2017,No,Active,3/1/2022,202 NUECES ST,AUSTIN,TX,78701,11655915,30.26625472,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11655915,-97.74987971,9600000
BP,2018-018588 BP,Commercial,7/16/2020,No,Active,7/31/2022,48 EAST AVE UNIT GAR,AUSTIN,TX,78701,11866805,30.2563889,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11866805,-97.7388366,5183720
BP,2018-077049 BP,Commercial,4/23/2019,No,Active,6/14/2022,501 BRAZOS ST,AUSTIN,TX,78701,11934686,30.26697836,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11934686,-97.74145118,3500000
BP,2018-077296 BP,Commercial,4/27/2018,No,Active,7/25/2022,700 E 11TH ST BLDG GAR,AUSTIN,TX,78701,11934988,30.27111367,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11934988,-97.73378932,89000000
BP,2018-084454 BP,Commercial,5/15/2018,No,Active,3/1/2022,401 GUADALUPE ST,AUSTIN,TX,78701,11943373,30.26748758,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11943373,-97.74664336,220000
BP,2018-084455 BP,Commercial,5/15/2018,No,Active,3/1/2022,401 GUADALUPE ST,AUSTIN,TX,78701,11943374,30.26748758,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11943374,-97.74664336,220000
BP,2018-084456 BP,Commercial,5/15/2018,No,Active,3/1/2022,401 GUADALUPE ST,AUSTIN,TX,78701,11943375,30.26748758,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11943375,-97.74664336,220000
BP,2018-090539 BP,Residential,5/31/2018,No,Active,3/29/2022,904 W 18TH ST,AUSTIN,TX,78701,11950452,30.28264281,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11950452,-97.74791364,400000
BP,2018-090540 BP,Residential,5/31/2018,No,Active,3/29/2022,904 W 18TH ST,AUSTIN,TX,78701,11950453,30.28264281,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11950453,-97.74791364,75000
BP,2018-177137 BP,Residential,11/7/2019,No,Active,3/1/2022,219 W 4TH ST,AUSTIN,TX,78701,12049174,30.26657694,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12049174,-97.74581227,150000
BP,2019-019372 BP,Commercial,2/22/2019,No,Active,3/1/2022,409 E 5TH ST,AUSTIN,TX,78701,12131767,30.26574758,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12131767,-97.73907304,0
BP,2019-022905 BP,Commercial,2/12/2019,No,Active,7/19/2022,500 E 12TH ST,AUSTIN,TX,78701,12135984,30.27293327,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12135984,-97.73576828,850000
BP,2019-045563 BP,Commercial,4/3/2019,No,Active,3/1/2022,503 W MARTIN LUTHER KING JR BLVD,AUSTIN,TX,78701,12162595,30.28170253,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12162595,-97.74316319,49000
BP,2019-063048 BP,Commercial,4/23/2019,No,Active,8/1/2022,710 E 3RD ST BLDG FWA,AUSTIN,TX,78701,12183275,30.26336306,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12183275,-97.73649469,29940000
BP,2019-063049 BP,Commercial,4/23/2019,No,Active,8/1/2022,710 E 3RD ST BLDG FWB,AUSTIN,TX,78701,12183276,30.26336306,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12183276,-97.73649469,29940000
BP,2019-063050 BP,Commercial,4/23/2019,No,Active,8/1/2022,710 E 3RD ST BLDG FWC,AUSTIN,TX,78701,12183277,30.26336306,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12183277,-97.73649469,29940000
BP,2019-063051 BP,Commercial,4/23/2019,No,Active,8/1/2022,710 E 3RD ST,AUSTIN,TX,78701,12183278,30.26336306,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12183278,-97.73649469,29940000
BP,2019-066182 BP,Commercial,4/30/2019,No,Active,6/6/2022,91 RED RIVER ST,AUSTIN,TX,78701,12187110,30.26080367,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12187110,-97.73886053,95000000
BP,2019-143466 BP,Commercial,7/2/2019,No,Active,3/1/2022,316 W 8TH ST,AUSTIN,TX,78701,12270352,30.27110141,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12270352,-97.74513966,20000
BP,2019-174862 BP,Commercial,3/20/2020,No,Active,7/31/2022,1313 RED RIVER ST,AUSTIN,TX,78701,12307399,30.27411046,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12307399,-97.73482085,91000000
BP,2019-174863 BP,Commercial,3/20/2020,No,Active,7/31/2022,1313 RED RIVER ST,AUSTIN,TX,78701,12307400,30.27411046,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12307400,-97.73482085,91000000
BP,2019-209709 BP,Commercial,10/21/2019,No,Active,8/1/2022,44 EAST AVE,AUSTIN,TX,78701,12347222,30.25593982,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12347222,-97.7389342,20000000
BP,2019-212342 BP,Commercial,10/24/2019,No,Active,3/1/2022,79 RAINEY ST,AUSTIN,TX,78701,12350461,30.25891883,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12350461,-97.7384106,0
BP,2019-218325 BP,Commercial,11/7/2019,No,Active,3/1/2022,1400 LAVACA ST,AUSTIN,TX,78701,12357745,30.27701073,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12357745,-97.74249688,0
BP,2019-218360 BP,Commercial,12/6/2019,No,Active,7/31/2022,600 GUADALUPE ST,AUSTIN,TX,78701,12357785,30.26933058,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12357785,-97.74638485,320000000
BP,2019-224125 BP,Commercial,11/18/2019,No,Active,3/1/2022,319 COLORADO ST,AUSTIN,TX,78701,12364456,30.26633503,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12364456,-97.7447288,0
BP,2019-226799 BP,Commercial,11/22/2019,No,Active,7/2/2022,1700 GUADALUPE ST,AUSTIN,TX,78701,12367711,30.27996018,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12367711,-97.74241454,185711909
BP,2019-226800 BP,Commercial,11/22/2019,No,Active,7/2/2022,1700 GUADALUPE ST,AUSTIN,TX,78701,12367712,30.27996018,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12367712,-97.74241454,185711909
BP,2019-231843 BP,Commercial,12/6/2019,No,Active,3/1/2022,79 RAINEY ST,AUSTIN,TX,78701,12373968,30.25891883,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12373968,-97.7384106,0
BP,2019-239104 BP,Commercial,1/16/2020,No,Active,8/1/2022,303 W 5TH ST,AUSTIN,TX,78701,12382613,30.26763064,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12382613,-97.74596464,112397000
BP,2020-004560 BP,Commercial,1/28/2020,No,Active,3/1/2022,811 TRINITY ST,AUSTIN,TX,78701,12392355,30.26954298,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12392355,-97.7381187,100000
BP,2020-012580 BP,Commercial,1/28/2020,No,Active,3/1/2022,81 RAINEY ST,AUSTIN,TX,78701,12401647,30.25907717,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12401647,-97.73835249,0
BP,2020-018873 BP,Commercial,2/12/2020,No,Active,3/1/2022,79 RAINEY ST,AUSTIN,TX,78701,12408982,30.25891883,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12408982,-97.7384106,0
BP,2020-018886 BP,Commercial,2/12/2020,No,Active,3/1/2022,201 E 6TH ST,AUSTIN,TX,78701,12408998,30.26743332,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12408998,-97.74137243,0
BP,2020-018908 BP,Commercial,2/12/2020,No,Active,3/1/2022,75 1/2 RAINEY ST,AUSTIN,TX,78701,12409025,30.25859083,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12409025,-97.7385113,0
BP,2020-018919 BP,Commercial,2/26/2020,No,Active,3/1/2022,409 E 5TH ST,AUSTIN,TX,78701,12409040,30.26574758,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12409040,-97.73907304,0
BP,2020-019017 BP,Commercial,2/12/2020,No,Active,3/1/2022,512 SAN JACINTO BLVD,AUSTIN,TX,78701,12409173,30.267163,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12409173,-97.7406541,0
BP,2020-019049 BP,Commercial,2/12/2020,No,Active,3/1/2022,307 E 5TH ST,AUSTIN,TX,78701,12409219,30.26603532,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12409219,-97.74024397,0
BP,2020-019076 BP,Commercial,2/12/2020,No,Active,3/1/2022,701 E 11TH ST,AUSTIN,TX,78701,12409251,30.27060019,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12409251,-97.73423725,0
BP,2020-020391 BP,Commercial,2/11/2020,No,Active,3/1/2022,79 RAINEY ST,AUSTIN,TX,78701,12410784,30.25891883,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12410784,-97.7384106,0
BP,2020-020920 BP,Commercial,2/12/2020,No,Active,3/1/2022,416 E 6TH ST,AUSTIN,TX,78701,12411412,30.26720834,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12411412,-97.73854583,0
BP,2020-021123 BP,Commercial,2/12/2020,No,Active,3/1/2022,310 COLORADO ST,AUSTIN,TX,78701,12411716,30.26621396,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12411716,-97.74513445,0
BP,2020-024181 BP,Commercial,2/26/2020,No,Active,3/1/2022,409 E 5TH ST,AUSTIN,TX,78701,12414836,30.26574758,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12414836,-97.73907304,0
BP,2020-026031 BP,Commercial,2/28/2020,No,Active,3/1/2022,313 RED RIVER ST,AUSTIN,TX,78701,12417136,30.26440152,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12417136,-97.73779432,0
BP,2020-031153 BP,Commercial,2/29/2020,No,Active,3/1/2022,415 COLORADO ST,AUSTIN,TX,78701,12423049,30.26713129,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12423049,-97.74425436,0
BP,2020-035853 BP,Commercial,3/2/2020,No,Active,3/1/2022,121 E 5TH ST,AUSTIN,TX,78701,12428447,30.26661636,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12428447,-97.74204707,0
BP,2020-070497 BP,Commercial,5/6/2020,No,Active,7/31/2022,1108 NUECES ST,AUSTIN,TX,78701,12468331,30.2751031,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12468331,-97.74677202,12260000
BP,2020-071591 BP,Commercial,5/8/2020,No,Active,8/1/2022,601 W 2ND ST,AUSTIN,TX,78701,12469601,30.26578376,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12469601,-97.75012044,123222244
BP,2020-092552 BP,Commercial,3/10/2021,No,Active,7/20/2022,600 W 5TH ST,AUSTIN,TX,78701,12493632,30.2690794,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12493632,-97.7489296,46000000
BP,2020-092553 BP,Commercial,3/10/2021,No,Active,7/20/2022,600 W 5TH ST,AUSTIN,TX,78701,12493633,30.2690794,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12493633,-97.7489296,46000000
BP,2020-142315 BP,Commercial,9/16/2020,No,Active,4/21/2022,601 W 11TH ST,AUSTIN,TX,78701,12550483,30.27419867,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12550483,-97.7473381,48000
BP,2020-147893 BP,Commercial,9/29/2020,No,Active,3/6/2022,91 RED RIVER ST,AUSTIN,TX,78701,12556961,30.26080367,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12556961,-97.73886053,48000
BP,2020-149521 BP,Commercial,1/27/2021,No,Active,7/30/2022,313 W 17TH ST,AUSTIN,TX,78701,12558844,30.27952495,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12558844,-97.74210934,65000000
BP,2020-154830 BP,Commercial,10/9/2020,No,Active,7/26/2022,501 BRAZOS ST UNIT FLR4,AUSTIN,TX,78701,12564992,30.26697836,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12564992,-97.74145118,48000
BP,2020-160581 BP,Commercial,11/3/2021,No,Active,5/16/2022,68 EAST AVE,AUSTIN,TX,78701,12571554,30.25832199,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12571554,-97.73813834,17200000
BP,2020-162467 BP,Commercial,10/30/2020,No,Active,7/30/2022,48 EAST AVE,AUSTIN,TX,78701,12573849,30.2563889,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12573849,-97.7388366,188700
BP,2020-164145 BP,Commercial,11/3/2021,No,Active,5/16/2022,68 EAST AVE BLDG GAR,AUSTIN,TX,78701,12575885,30.25832199,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12575885,-97.73813834,222550
BP,2020-164969 BP,Commercial,11/5/2020,No,Active,3/1/2022,601 RIO GRANDE ST,AUSTIN,TX,78701,12576846,30.27009014,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12576846,-97.74927009,0
BP,2020-194306 BP,Commercial,12/30/2020,No,Active,7/25/2022,827 W 12TH ST,AUSTIN,TX,78701,12611705,30.27600016,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12611705,-97.74952067,19323891
BP,2020-194307 BP,Commercial,12/30/2020,No,Active,7/25/2022,827 W 12TH ST,AUSTIN,TX,78701,12611706,30.27600016,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12611706,-97.74952067,19323891
BP,2021-004640 BP,Commercial,4/7/2021,No,Active,3/1/2022,62 EAST AVE,AUSTIN,TX,78701,12618054,30.25804629,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12618054,-97.73824079,7000000
BP,2021-009654 BP,Commercial,2/1/2021,No,Active,8/1/2022,215 BRAZOS ST,AUSTIN,TX,78701,12623845,30.26456529,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12623845,-97.74248867,123400000
BP,2021-011864 BP,Commercial,2/1/2021,No,Active,7/24/2022,80 RED RIVER ST,AUSTIN,TX,78701,12626397,30.26001067,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12626397,-97.74003826,150000000
BP,2021-016066 BP,Commercial,2/8/2021,No,Active,7/31/2022,701 E 5TH ST,AUSTIN,TX,78701,12631533,30.26495495,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12631533,-97.73633147,9750000
BP,2021-040252 BP,Commercial,4/23/2021,No,Active,3/1/2022,111 E CESAR CHAVEZ ST,AUSTIN,TX,78701,12659973,30.26309809,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12659973,-97.74405836,1941600
BP,2021-069791 BP,Commercial,5/11/2021,No,Active,7/30/2022,203 W 10TH ST,AUSTIN,TX,78701,12694834,30.27209435,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12694834,-97.7435097,19700000
BP,2021-069792 BP,Commercial,5/11/2021,No,Active,7/30/2022,203 W 10TH ST,AUSTIN,TX,78701,12694835,30.27209435,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12694835,-97.7435097,19700000
BP,2021-100096 BP,Commercial,7/1/2021,No,Active,3/1/2022,605 DAVIS ST,AUSTIN,TX,78701,12730176,30.26010402,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12730176,-97.73921517,0
BP,2021-118161 BP,Commercial,8/4/2021,No,Active,3/1/2022,500 E 12TH ST,AUSTIN,TX,78701,12751328,30.27293327,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12751328,-97.73576828,0
